Date,Time Difference,Snapscore,Increase,Increase Difference,Snaps Sent,Number of Snaps Sent Since Last Time,Snaps Opened,Number of Snaps Opened Since Last Time,Number of People Snapped,Number of People Snapped Since Last Time,Snap Rate / min,Snap Rate / hour,Snap Rate / day
2024-06-13 18:46:00,,179396,0,,0,,0,,0,,,,
2024-06-13 18:50:00,4 minutes,179400,4,4.0,2,2.0,2,2.0,2,2.0,1.0,,
2024-06-13 19:04:00,14 minutes,179405,5,1.0,2,0.0,3,-1.0,2,0.0,0.3571428571428571,,
2024-06-14 14:29:00,"19 hours, 25 minutes",179512,107,102.0,53,51.0,54,51.0,53,51.0,0.0918454935622317,5.883347421808961,
2024-06-14 15:40:00,"1 hours, 11 minutes",179514,2,-105.0,1,-52.0,1,-51.0,1,-52.0,0.028169014084507,1.6901408450704225,
2024-06-14 15:46:00,6 minutes,179518,4,2.0,2,1.0,2,1.0,2,1.0,0.6666666666666666,,
2024-06-14 15:56:00,10 minutes,179523,5,1.0,2,0.0,3,-1.0,2,0.0,0.5,,
2024-06-14 16:08:00,12 minutes,179531,8,3.0,4,2.0,4,3.0,4,2.0,0.6666666666666666,,
2024-06-14 16:18:00,10 minutes,179534,3,-5.0,1,-3.0,2,-4.0,1,-3.0,0.3,,
2024-06-14 16:18:30,30 seconds,179537,3,0.0,1,0.0,2,0.0,1,0.0,,,
2024-06-14 16:52:00,"33 minutes, 30 seconds",179543,6,3.0,3,2.0,3,3.0,3,2.0,0.2727272727272727,24.507042253521128,
2024-06-14 17:11:00,19 minutes,179549,6,0.0,3,0.0,3,0.0,3,0.0,0.3157894736842105,,
2024-06-14 17:18:00,7 minutes,179551,2,-4.0,1,-2.0,1,-2.0,1,-2.0,0.2857142857142857,,
2024-06-14 17:28:00,10 minutes,179552,1,-1.0,0,-1.0,1,-2.0,0,-1.0,0.1,,
2024-06-14 18:10:00,42 minutes,179562,10,9.0,5,5.0,5,6.0,5,5.0,0.238095238095238,14.615384615384617,
2024-06-14 19:07:00,57 minutes,179564,2,-8.0,1,-4.0,1,-4.0,1,-4.0,0.0350877192982456,,165.6986301369863
